message,category
Your class is scheduled tomorrow at 10 AM,Normal
Please submit your assignment before Friday,Normal
Your order has been delivered successfully,Normal
Your meeting is scheduled for tomorrow,Normal
The library will remain open until 8 PM today,Normal
Your examination hall ticket is available on the student portal,Normal
The college seminar starts at 11 AM,Normal
Your project submission deadline is next Monday,Normal
Your attendance report has been updated,Normal
The department meeting will be held in Room 204,Normal
Your online class link is available on the portal,Normal
The college bus will leave at 7 AM,Normal
Your fee receipt is available for download,Normal
The workshop registration closes this Friday,Normal
Your assignment has been received successfully,Normal
The library book is due next week,Normal
The practical examination is scheduled for Tuesday,Normal
Your scholarship application has been submitted,Normal
The college fest begins tomorrow,Normal
Your timetable has been updated,Normal
The placement training session starts at 2 PM,Normal
Your ID card is ready for collection,Normal
The results will be published on the student portal,Normal
The laboratory will be closed for maintenance tomorrow,Normal
Your course registration was successful,Normal
The faculty has uploaded new study material,Normal
The seminar certificate is ready,Normal
Your hostel application has been received,Normal
The internal assessment marks are available,Normal
The next lecture will be conducted online,Normal
Your appointment with the academic office is confirmed,Normal
The college notice has been published,Normal
Your library account has been renewed,Normal
The examination timetable has been released,Normal
Your project presentation is scheduled for Friday,Normal
The department has announced a holiday,Normal
Your request has been forwarded to the office,Normal
The sports practice session starts at 5 PM,Normal
Your course materials are ready,Normal
The orientation program will begin at 9 AM,Normal
Your internship documents have been received,Normal
The faculty meeting is scheduled for Wednesday,Normal
The campus Wi-Fi maintenance is planned tonight,Normal
Your application status has been updated,Normal
The next practical class is in Laboratory 3,Normal
Your exam result is available on the portal,Normal
The college canteen will close at 6 PM,Normal
Your workshop certificate has been issued,Normal
The department has shared the new timetable,Normal
Your fee payment receipt is available,Normal
Click this link to verify your account,Phishing
Your account needs immediate verification,Phishing
Verify your details by clicking this link,Phishing
Your account will be suspended unless you verify now,Phishing
Confirm your login information using this link,Phishing
"Your security verification is pending, click here",Phishing
Update your account information immediately,Phishing
Click here to prevent your account from being closed,Phishing
"Your login has expired, verify your details",Phishing
Confirm your identity through the attached link,Phishing
"We detected unusual activity, verify your account",Phishing
Your profile requires urgent verification,Phishing
Click the link to restore your account access,Phishing
Your account security check is incomplete,Phishing
Verify your email address immediately using this link,Phishing
"Your account may be locked, confirm your information",Phishing
Sign in through this link to secure your account,Phishing
Your account verification is required today,Phishing
Click here to confirm your personal details,Phishing
Your security alert requires immediate action,Phishing
Please verify your login credentials,Phishing
Confirm your account information using the link below,Phishing
Your account access needs to be restored,Phishing
Click here to complete security verification,Phishing
Verify your identity to continue using the service,Phishing
Your account has a pending security request,Phishing
Please confirm your details to avoid account restriction,Phishing
Your online account requires confirmation,Phishing
Use the link provided to verify your account,Phishing
Your account information needs to be updated,Phishing
Security verification is required before you continue,Phishing
Click the attached link to confirm your account,Phishing
Your account has been flagged for verification,Phishing
Please verify your information before access expires,Phishing
Confirm your details now to keep your account active,Phishing
Your account requires an identity check,Phishing
Click here to complete the verification process,Phishing
Verify your account before the deadline,Phishing
"Your account access may expire, confirm now",Phishing
Please validate your account information,Phishing
Your security settings need confirmation,Phishing
Click here to review and verify your account,Phishing
Confirm your account to avoid temporary restrictions,Phishing
"Your account has unusual login activity, verify now",Phishing
Please use this link for account verification,Phishing
"Your identity could not be verified, click here",Phishing
Complete the security check using the provided link,Phishing
Your account requires urgent identity confirmation,Phishing
Verify your credentials to continue,Phishing
Click here because your account verification is incomplete,Phishing
Your bank account will be blocked today,Banking Scam
Send your OTP to activate your bank account,Banking Scam
"Your debit card has been blocked, verify immediately",Banking Scam
Update your banking details using this link,Banking Scam
Your bank account requires immediate verification,Banking Scam
Share your OTP to prevent your account from being closed,Banking Scam
Your card will be deactivated unless you verify now,Banking Scam
Confirm your bank details through this link,Banking Scam
"Your banking access has been suspended, act immediately",Banking Scam
Provide your PIN to complete account verification,Banking Scam
Your debit card requires urgent activation,Banking Scam
Send the verification code to restore banking access,Banking Scam
"Your bank account has unusual activity, verify now",Banking Scam
Confirm your card details to avoid suspension,Banking Scam
Your bank security team needs your OTP,Banking Scam
Update your ATM card information immediately,Banking Scam
Your account will be frozen unless you verify your details,Banking Scam
Share your banking credentials for verification,Banking Scam
Your card has been selected for a security check,Banking Scam
Verify your bank account using the provided link,Banking Scam
Your mobile banking service will be disabled,Banking Scam
Send the code received on your phone to verify your account,Banking Scam
Your bank account needs immediate security confirmation,Banking Scam
Provide your card number and OTP for verification,Banking Scam
Your debit card access has been restricted,Banking Scam
Confirm your banking information to restore access,Banking Scam
"Your bank has detected suspicious activity, verify immediately",Banking Scam
Share the OTP to complete your banking request,Banking Scam
Your ATM card will be blocked today,Banking Scam
Verify your bank details before your account is suspended,Banking Scam
"Your account security has expired, update your details",Banking Scam
Send your PIN to activate your new banking service,Banking Scam
"Your card verification is pending, confirm now",Banking Scam
"Your bank account is under review, provide details",Banking Scam
Click the link to prevent your debit card from being blocked,Banking Scam
Your online banking account needs urgent verification,Banking Scam
Provide your OTP to cancel the suspicious transaction,Banking Scam
"Your card has been temporarily locked, verify your identity",Banking Scam
Confirm your account details to keep banking services active,Banking Scam
Your bank requires immediate confirmation of your card,Banking Scam
Send your verification code to unlock your account,Banking Scam
Your account will be restricted without verification,Banking Scam
Update your bank profile using this link,Banking Scam
Your card security check requires your OTP,Banking Scam
Verify your account to avoid banking service interruption,Banking Scam
Your debit card needs immediate verification,Banking Scam
Share your card details to complete the security process,Banking Scam
Your bank account may be closed unless you act now,Banking Scam
Confirm your banking credentials immediately,Banking Scam
Your account has been flagged for suspicious banking activity,Banking Scam
Congratulations you have won a lottery prize,Prize Scam
"You have won 10 lakh rupees, claim now",Prize Scam
Pay a small fee to receive your prize,Prize Scam
Congratulations you are selected for a cash reward,Prize Scam
You are the lucky winner of a large cash prize,Prize Scam
Claim your lottery reward by paying a processing fee,Prize Scam
You have been chosen to receive a surprise reward,Prize Scam
"Your prize is waiting, pay the release charge",Prize Scam
You won a cash reward in our lucky draw,Prize Scam
Pay the verification fee to collect your prize,Prize Scam
"Congratulations, your reward has been approved",Prize Scam
"You have won a special bonus, claim immediately",Prize Scam
A cash prize has been reserved in your name,Prize Scam
Pay the service charge to receive your lottery money,Prize Scam
You are selected as a winner in today's draw,Prize Scam
Your winning amount is ready for transfer,Prize Scam
Claim your free cash reward before it expires,Prize Scam
"You have won a jackpot, pay the processing fee",Prize Scam
Your lottery ticket has been selected for a reward,Prize Scam
Receive your prize after completing a small payment,Prize Scam
You have been selected for a special cash giveaway,Prize Scam
Your reward claim requires a payment,Prize Scam
"Congratulations, you are today's lucky winner",Prize Scam
"Your cash prize is ready, claim it now",Prize Scam
Pay a small amount to unlock your prize,Prize Scam
"You won a surprise reward, contact us to claim it",Prize Scam
Your lottery winnings are waiting for confirmation,Prize Scam
Claim your winning amount by paying a fee,Prize Scam
You have been selected for a cash jackpot,Prize Scam
A prize has been awarded to your phone number,Prize Scam
Your lucky draw reward is ready to be claimed,Prize Scam
Pay the required fee before collecting your reward,Prize Scam
"Congratulations, you have won a special prize",Prize Scam
Your reward has been transferred for processing,Prize Scam
Claim your cash gift by completing the required payment,Prize Scam
You are eligible for a surprise lottery reward,Prize Scam
Your winning prize will expire today,Prize Scam
A large cash reward is waiting for you,Prize Scam
Pay the claim fee to receive your winnings,Prize Scam
You have won a promotional cash prize,Prize Scam
"Your prize claim has been approved, pay the processing charge",Prize Scam
"Congratulations, your phone number has won a reward",Prize Scam
Your lottery reward is ready for collection,Prize Scam
Complete the payment to release your cash prize,Prize Scam
You are the selected winner of today's giveaway,Prize Scam
Your jackpot claim requires a small processing payment,Prize Scam
"You have won a special reward, claim immediately",Prize Scam
Pay the service fee to unlock your cash reward,Prize Scam
"Your prize has been reserved, complete the claim process",Prize Scam
"Congratulations, a reward has been assigned to you",Prize Scam
Claim your lottery money by paying the required fee,Prize Scam
Pay registration fee to get this job,Job Scam
Your job is confirmed after paying the processing fee,Job Scam
Earn money from home after paying a joining fee,Job Scam
"Congratulations you have been selected for a job, pay now",Job Scam
Pay a training fee before starting your job,Job Scam
Your job offer requires an upfront payment,Job Scam
Send money to confirm your job position,Job Scam
Pay a security deposit to receive your appointment letter,Job Scam
"You have been selected for a high salary job, pay the registration fee",Job Scam
Work from home and earn thousands after paying a small fee,Job Scam
"Your interview is not required, just pay the joining charge",Job Scam
Pay the recruitment fee to secure your job,Job Scam
A guaranteed job is available after payment,Job Scam
Transfer money to complete your job verification,Job Scam
Your employment offer will be released after payment,Job Scam
Pay the application fee to confirm your selection,Job Scam
"You have been shortlisted, pay the processing charge",Job Scam
Pay for your employee ID before joining,Job Scam
Your salary package is ready after you pay the registration amount,Job Scam
Send the joining fee to start your new job,Job Scam
Get a government job by paying a small processing fee,Job Scam
Your work from home position requires an upfront payment,Job Scam
Pay the placement fee to receive the job offer,Job Scam
"You have been selected without an interview, pay now",Job Scam
Complete payment to activate your job offer,Job Scam
Pay a refundable security fee for your employment,Job Scam
Your appointment letter will be issued after payment,Job Scam
Earn a high income by paying our recruitment charge,Job Scam
Pay the verification fee to complete your employment process,Job Scam
Your job confirmation is pending because of a registration fee,Job Scam
A small payment is required to finalize your job selection,Job Scam
Pay the company fee before joining work,Job Scam
"Your job application has been approved, pay to continue",Job Scam
Send money to reserve your job vacancy,Job Scam
You can start earning today after paying a joining charge,Job Scam
Pay for training materials before receiving the job offer,Job Scam
Your employment verification requires a payment,Job Scam
"You have been chosen for a remote job, pay the processing fee",Job Scam
Pay a small amount to receive your job appointment letter,Job Scam
Your job vacancy is guaranteed if you pay today,Job Scam
Complete the recruitment payment to secure employment,Job Scam
Pay the onboarding fee to start your job,Job Scam
Your selected job requires an upfront registration payment,Job Scam
Transfer the processing fee to confirm your employment,Job Scam
A job with excellent salary is available after paying a fee,Job Scam
Pay the document verification fee for your job,Job Scam
Your job selection is confirmed after the required payment,Job Scam
Send the registration amount to activate your job,Job Scam
Pay today to secure this work from home opportunity,Job Scam
Your employment offer requires a joining payment,Job Scam
"Your parcel is waiting, pay delivery charges",Delivery Scam
Pay 100 rupees to release your package,Delivery Scam
Your delivery address needs verification through this link,Delivery Scam
"Your parcel is held, make payment immediately",Delivery Scam
Pay a small customs fee to receive your package,Delivery Scam
Your package cannot be delivered until you pay the fee,Delivery Scam
Confirm your delivery by paying the required charge,Delivery Scam
"Your parcel is waiting at the warehouse, pay now",Delivery Scam
Pay the delivery fee to release your shipment,Delivery Scam
Your package is held because of an unpaid charge,Delivery Scam
Click this link to update your delivery address,Delivery Scam
Your shipment requires an urgent payment,Delivery Scam
Pay customs charges to receive your parcel,Delivery Scam
Your courier delivery is pending due to payment,Delivery Scam
Your package will be returned unless you pay today,Delivery Scam
Pay the verification fee for your delivery,Delivery Scam
Your parcel address needs immediate confirmation,Delivery Scam
Complete payment to schedule your package delivery,Delivery Scam
"Your shipment is on hold, pay the release fee",Delivery Scam
A small payment is required to receive your package,Delivery Scam
"Your parcel could not be delivered, confirm your address",Delivery Scam
Pay the courier charge to get your shipment,Delivery Scam
Your package is waiting for customs payment,Delivery Scam
Click here to pay the delivery charge,Delivery Scam
Your delivery has been suspended until payment is made,Delivery Scam
Pay the handling fee to release your parcel,Delivery Scam
Your shipment requires address verification,Delivery Scam
Your package will be returned if payment is not completed,Delivery Scam
Complete the delivery payment to receive your order,Delivery Scam
Your courier package is held for a small fee,Delivery Scam
Pay the shipping fee to release your order,Delivery Scam
Your parcel is awaiting confirmation and payment,Delivery Scam
Verify your delivery address using this link,Delivery Scam
A customs payment is required before delivery,Delivery Scam
Your package delivery needs immediate action,Delivery Scam
Pay the release charge to receive your parcel,Delivery Scam
Your courier service requires a verification payment,Delivery Scam
Your shipment is delayed because of an unpaid fee,Delivery Scam
Pay the package processing charge immediately,Delivery Scam
Your parcel is ready but payment is pending,Delivery Scam
Confirm your shipment by paying the delivery fee,Delivery Scam
Your package has been stopped at the warehouse,Delivery Scam
Pay the courier processing fee to continue delivery,Delivery Scam
Your order needs address verification before delivery,Delivery Scam
Your shipment will be returned without payment,Delivery Scam
Pay the customs release fee for your parcel,Delivery Scam
Your delivery requires a small processing payment,Delivery Scam
Click the link to confirm your package delivery,Delivery Scam
Your parcel is held until the required fee is paid,Delivery Scam
Complete payment to release your shipment,Delivery Scam
Invest today and get guaranteed five times return,Investment Scam
Double your money with our guaranteed investment plan,Investment Scam
Send money now to join our investment scheme,Investment Scam
Guaranteed profit with zero risk investment,Investment Scam
Earn huge returns with no risk,Investment Scam
Invest a small amount and become rich quickly,Investment Scam
Guaranteed monthly profit after investing today,Investment Scam
Double your investment in just a few days,Investment Scam
Send your money to activate the investment plan,Investment Scam
Get guaranteed returns with our special scheme,Investment Scam
Invest now for risk free profits,Investment Scam
Earn five times your money through our investment offer,Investment Scam
Your investment will double within one week,Investment Scam
Join our investment program and earn guaranteed income,Investment Scam
Deposit money today to unlock high returns,Investment Scam
Make a small investment and receive huge profits,Investment Scam
Guaranteed profit is waiting for investors,Investment Scam
Invest now with zero chance of loss,Investment Scam
Send funds to start your guaranteed profit plan,Investment Scam
Earn daily income from our special investment scheme,Investment Scam
Your money can grow five times with this offer,Investment Scam
Invest before midnight to receive guaranteed returns,Investment Scam
No risk investment with guaranteed monthly income,Investment Scam
Deposit today and receive double returns,Investment Scam
Join our private investment group for guaranteed profits,Investment Scam
Get rich quickly by investing in our special plan,Investment Scam
A guaranteed return is available for new investors,Investment Scam
Invest now and receive profits every day,Investment Scam
Send money to secure your investment opportunity,Investment Scam
Our investment plan guarantees huge returns,Investment Scam
Double your money with this limited investment opportunity,Investment Scam
Invest a small amount today for massive profits,Investment Scam
Guaranteed returns are available with no risk,Investment Scam
Transfer funds to activate your high profit plan,Investment Scam
Earn guaranteed income by joining our investment scheme,Investment Scam
Your investment can produce five times returns quickly,Investment Scam
Deposit now to qualify for guaranteed profits,Investment Scam
Invest today and receive a guaranteed bonus,Investment Scam
Zero risk investment opportunity with guaranteed profit,Investment Scam
Send your funds to begin earning guaranteed returns,Investment Scam
Become wealthy quickly through our investment program,Investment Scam
Guaranteed profits are available for a limited time,Investment Scam
Invest now before this high return opportunity expires,Investment Scam
Your investment will generate guaranteed weekly profits,Investment Scam
Deposit money to unlock our premium investment plan,Investment Scam
Earn huge profits without any investment risk,Investment Scam
Invest now and double your money quickly,Investment Scam
A high return is guaranteed on your investment,Investment Scam
Transfer money to join our exclusive investment plan,Investment Scam
Guaranteed five times return for new investors,Investment Scam
Invest today to receive a guaranteed profit bonus,Investment Scam
"I am your friend, please send me money urgently",Impersonation Scam
"This is your relative, I need money immediately",Impersonation Scam
"Send money urgently, I am stuck and need help",Impersonation Scam
"Please transfer money to this account, it is urgent",Impersonation Scam
"I lost my phone, please send money to this new account",Impersonation Scam
I am in trouble and need money right now,Impersonation Scam
Please help me by transferring money immediately,Impersonation Scam
"This is me, I need an urgent money transfer",Impersonation Scam
"I am stranded, please send money for travel",Impersonation Scam
"My wallet is lost, send money to this account",Impersonation Scam
"I need your help urgently, please transfer money",Impersonation Scam
"I am your friend and my phone is not working, send money",Impersonation Scam
"Please send money, I will return it later",Impersonation Scam
I am stuck away from home and need cash urgently,Impersonation Scam
"My phone was stolen, contact me on this number and send money",Impersonation Scam
"I have an emergency, please transfer money now",Impersonation Scam
I am traveling and need money immediately,Impersonation Scam
Please help me with an urgent payment,Impersonation Scam
"I cannot access my bank account, send money to this account",Impersonation Scam
"This is your family member, I need financial help now",Impersonation Scam
I am in an emergency and need you to transfer funds,Impersonation Scam
Please send money to my new account because I changed my number,Impersonation Scam
"I am stuck at the airport, please send money urgently",Impersonation Scam
"My phone is broken, please transfer money to this account",Impersonation Scam
"I need immediate help, send me some money",Impersonation Scam
"Please transfer funds, I will explain everything later",Impersonation Scam
"I am your colleague, I urgently need money",Impersonation Scam
I am away from home and need an immediate transfer,Impersonation Scam
Please send money to help me with an emergency,Impersonation Scam
"I changed my phone number, please send money here",Impersonation Scam
I am stuck somewhere and need money for transport,Impersonation Scam
Please transfer money because I cannot access my account,Impersonation Scam
"I need urgent financial help, send money now",Impersonation Scam
I am your cousin and need money immediately,Impersonation Scam
"Please send funds to this new account, it is urgent",Impersonation Scam
"I am in trouble, please make a payment for me",Impersonation Scam
"My card is not working, please send money to this account",Impersonation Scam
I need money urgently and cannot call you,Impersonation Scam
Please help me with an immediate money transfer,Impersonation Scam
"I am your friend, my phone was lost, send money here",Impersonation Scam
"I am traveling and have no cash, please transfer money",Impersonation Scam
Please send money to my alternate account urgently,Impersonation Scam
"I have an emergency, please pay this amount for me",Impersonation Scam
"I cannot reach my family, please send money now",Impersonation Scam
"I need a quick loan from you, transfer money immediately",Impersonation Scam
"Please send money to this number, I will repay you",Impersonation Scam
I am stuck and need help with an urgent payment,Impersonation Scam
"This is your relative, my phone number has changed",Impersonation Scam
Please transfer money because I am facing an emergency,Impersonation Scam
"I need immediate cash, please send money to this account",Impersonation Scam
